;;Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking;Bevolking|Bevolkingssamenstelling op 1 januari|Geslacht|Mannen;Bevolking|Bevolkingssamenstelling op 1 januari|Geslacht|Vrouwen;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|Jonger dan 5 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|5 tot 10 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|10 tot 15 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|15 tot 20 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|20 tot 25 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|25 tot 45 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|45 tot 65 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|65 tot 80 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|80 jaar of ouder;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|Jonger dan 5 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|5 tot 10 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|10 tot 15 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|15 tot 20 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|20 tot 25 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|25 tot 45 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|45 tot 65 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|65 tot 80 jaar;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|80 jaar of ouder;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Demografische druk|Totale druk;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Demografische druk|Groene druk;Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Demografische druk|Grijze druk;Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Totale bevolking|Ongehuwd;Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Totale bevolking|Gehuwd;Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Totale bevolking|Gescheiden;Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Totale bevolking|Verweduwd;Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Bevolking 15 jaar of ouder|Inwoners 15 jaar of ouder;Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Bevolking 15 jaar of ouder|Ongehuwd;Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Bevolking 15 jaar of ouder|Gehuwd;Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Bevolking 15 jaar of ouder|Gescheiden;Bevolking|Bevolkingssamenstelling op 1 januari|Burgerlijke staat|Bevolking 15 jaar of ouder|Verweduwd;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Nederlandse achtergrond;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Totaal met migratieachtergrond;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Westerse migratieachtergrond;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Niet-westerse migratieachtergrond|Totaal niet-westerse migratieachtergrond;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Niet-westerse migratieachtergrond|Marokko;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Niet-westerse migratieachtergrond|(voormalige) Nederlandse Antillen, Aruba;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Niet-westerse migratieachtergrond|Suriname;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Niet-westerse migratieachtergrond|Turkije;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond|Met migratieachtergrond|Niet-westerse migratieachtergrond|Overig niet-westerse migratieachtergrond;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Nederlandse achtergrond;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Totaal met migratieachtergrond;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Westerse migratieachtergrond;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Niet-westerse migratieachtergrond|Totaal niet-westerse migratieachtergrond;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Niet-westerse migratieachtergrond|Marokko;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Niet-westerse migratieachtergrond|(voormalige) Nederlandse Antillen, Aruba;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Niet-westerse migratieachtergrond|Suriname;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Niet-westerse migratieachtergrond|Turkije;Bevolking|Bevolkingssamenstelling op 1 januari|Migratieachtergrond|Migratieachtergrond, relatief|Met migratieachtergrond|Niet-westerse migratieachtergrond|Overig niet-westerse migratieachtergrond;Bevolking|Bevolkingssamenstelling op 1 januari|Inwoners naar stedelijkheidsklasse|Zeer sterk stedelijk;Bevolking|Bevolkingssamenstelling op 1 januari|Inwoners naar stedelijkheidsklasse|Sterk stedelijk;Bevolking|Bevolkingssamenstelling op 1 januari|Inwoners naar stedelijkheidsklasse|Matig stedelijk;Bevolking|Bevolkingssamenstelling op 1 januari|Inwoners naar stedelijkheidsklasse|Weinig stedelijk;Bevolking|Bevolkingssamenstelling op 1 januari|Inwoners naar stedelijkheidsklasse|Niet stedelijk;Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid;Bevolking|Bevolkingsontwikkeling|Geboorte, sterfte en doodsoorzaken|Levend geboren kinderen;Bevolking|Bevolkingsontwikkeling|Geboorte, sterfte en doodsoorzaken|Levend geboren kinderen, relatief;Bevolking|Bevolkingsontwikkeling|Geboorte, sterfte en doodsoorzaken|Overledenen;Bevolking|Bevolkingsontwikkeling|Geboorte, sterfte en doodsoorzaken|Overledenen, relatief;Bevolking|Bevolkingsontwikkeling|Geboorte, sterfte en doodsoorzaken|Geboorteoverschot;Bevolking|Bevolkingsontwikkeling|Geboorte, sterfte en doodsoorzaken|Geboorteoverschot, relatief;Bevolking|Bevolkingsontwikkeling|Geboorte, sterfte en doodsoorzaken|Doodsoorzaken|Nieuwvormingen;Bevolking|Bevolkingsontwikkeling|Geboorte, sterfte en doodsoorzaken|Doodsoorzaken|Ziekten van hart en vaatstelsel;Bevolking|Bevolkingsontwikkeling|Geboorte, sterfte en doodsoorzaken|Doodsoorzaken|Ziekten van ademhalingsstelsel;Bevolking|Bevolkingsontwikkeling|Geboorte, sterfte en doodsoorzaken|Doodsoorzaken|Uitwendige doodsoorzaken;Bevolking|Bevolkingsontwikkeling|Geboorte, sterfte en doodsoorzaken|Doodsoorzaken|Overige doodsoorzaken;Bevolking|Bevolkingsontwikkeling|Verhuizingen|Vestiging uit andere gemeente;Bevolking|Bevolkingsontwikkeling|Verhuizingen|Vertrek naar andere gemeente;Bevolking|Bevolkingsontwikkeling|Verhuizingen|Binnenlands migratiesaldo;Bevolking|Bevolkingsontwikkeling|Verhuizingen|Binnenlands migratiesaldo, relatief;Bevolking|Bevolkingsontwikkeling|Verhuizingen|Verhuismobiliteit, relatief;Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Immigratie;Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Emigratie;Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Migratiesaldo;Bevolking|Bevolkingsontwikkeling|Immigratie en emigratie|Migratiesaldo, relatief;Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Inwoners op 31 december;Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Bevolkingsgroei;Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Bevolkingsgroei, relatief;Bevolking|Bevolkingsontwikkeling|Bevolkingsgroei|Gemiddeld aantal inwoners;Bevolking|Particuliere huishoudens|Particuliere huishoudens|Totaal particuliere huishoudens;Bevolking|Particuliere huishoudens|Particuliere huishoudens|Eenpersoonshuishoudens;Bevolking|Particuliere huishoudens|Particuliere huishoudens|Meerpersoonshuishoudens zonder kinderen;Bevolking|Particuliere huishoudens|Particuliere huishoudens|Meerpersoonshuishoudens met kinderen;Bevolking|Particuliere huishoudens|Particuliere huishoudens, relatief|Eenpersoonshuishoudens;Bevolking|Particuliere huishoudens|Particuliere huishoudens, relatief|Meerpersoonshuishoudens zonder kinderen;Bevolking|Particuliere huishoudens|Particuliere huishoudens, relatief|Meerpersoonshuishoudens met kinderen;Bevolking|Particuliere huishoudens|Gemiddelde huishoudensgrootte;Lokalisering|Lokaliseringen van gemeenten|Arbeidsmarktregio's|Code;Lokalisering|Lokaliseringen van gemeenten|Arbeidsmarktregio's|Naam;Lokalisering|Lokaliseringen van gemeenten|GGD-regio's|Code;Lokalisering|Lokaliseringen van gemeenten|GGD-regio's|Naam;Lokalisering|Lokaliseringen van gemeenten|Jeugdregio's|Code;Lokalisering|Lokaliseringen van gemeenten|Jeugdregio's|Naam;Lokalisering|Lokaliseringen van gemeenten|Regionale eenheden|Code;Lokalisering|Lokaliseringen van gemeenten|Regionale eenheden|Naam;Lokalisering|Lokaliseringen van gemeenten|Regionale Energiestrategie regio's|Code;Lokalisering|Lokaliseringen van gemeenten|Regionale Energiestrategie regio's|Naam;Lokalisering|Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Code
Province;Perioden;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;%;%;%;%;%;%;%;%;%;%;%;%;aantal;aantal;aantal;aantal;aantal;% van inwoners 15 jaar of ouder;% van inwoners 15 jaar of ouder;% van inwoners 15 jaar of ouder;% van inwoners 15 jaar of ouder;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;%;%;%;%;%;%;%;%;%;aantal;aantal;aantal;aantal;aantal;aantal inwoners per km²;aantal;per 1 000 inwoners;aantal;per 1 000 inwoners;aantal;per 1 000 inwoners;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;per 1 000 inwoners;per 1 000 inwoners;aantal;aantal;aantal;per 1 000 inwoners;aantal;aantal;per 1 000 inwoners;aantal;aantal;aantal;aantal;aantal;%;%;%;personen per 1 huishouden;code;naam;code;naam;code;naam;code;naam;code;naam;code
Groningen (PV);2021;586937;293361;293576;24951;26757;28966;35274;53110;141990;156506;91109;28274;4,3;4,6;4,9;6;9;24,2;26,7;15,5;4,8;66,9;33;34;306220;204840;45539;30338;506263;44,6;40,5;9;6;488170;98767;49944;48823;1859;6545;6214;5004;29201;83,2;16,8;8,5;8,3;0,3;1,1;1,1;0,9;5;130760;62750;82400;114890;196150;253;5306;9;6201;10,5;-895;-1,5;1744;1436;348;302;2371;29065;41916;-12851;-21,8;134;22575;5665;16910;28,7;590170;3233;5,5;588553,5;296374;135353;83912;77109;45,7;28,3;26;1,95;;;;;;;;;;;
Groningen (PV);2022;590170;294948;295222;25096;26465;29071;35186;54258;143563;155052;92957;28522;4,3;4,5;4,9;6;9,2;24,3;26,3;15,8;4,8;67,2;32,8;34,4;310290;203936;45662;30282;509538;45,1;40;9;5,9;486913;103257;51755;51502;1898;6813;6204;5252;31335;82,5;17,5;8,8;8,7;0,3;1,2;1,1;0,9;5,3;131950;62860;82700;115260;197390;255;4994;8,4;6192;10,4;-1198;-2;1796;1434;457;317;2188;28640;43751;-15111;-25,5;130,2;;;;;596075;5905;10;593122,5;299201;138299;83888;77014;46,2;28;25,7;1,94;;;;;;;;;;;
Groningen (PV);2023;596075;297573;298502;25238;26398;29354;35100;55192;147034;154051;94644;29064;4,2;4,4;4,9;5,9;9,3;24,7;25,8;15,9;4,9;67,3;32,6;34,7;315416;204907;45581;30171;515085;45,5;39,8;8,8;5,9;;;;;;;;;;;;;;;;;;;133300;65000;83090;115390;199280;257;;;;;;;;;;;;;;;;;;;;;;;;598711;302672;140770;83976;77926;46,5;27,7;25,7;1,93;;;;;;;;;;;
Fryslân (PV);2021;651435;326788;324647;30278;33330;37300;40912;38541;142710;184269;109034;35061;4,6;5,1;5,7;6,3;5,9;21,9;28,3;16,7;5,4;78,2;38,8;39,4;306037;259176;50144;36078;550527;37,3;47,1;9,1;6,6;583187;68248;33951;34297;2343;3205;3211;1976;23562;89,5;10,5;5,2;5,3;0,4;0,5;0,5;0,3;3,6;51160;74540;88800;145570;291360;195;6319;9,7;7069;10,8;-750;-1,1;1936;1619;401;338;2775;28679;26156;2523;3,9;96,9;3349;2520;829;1,3;654019;2584;4;652727;295870;108825;92017;95028;36,8;31,1;32,1;2,16;;;;;;;;;;;
Fryslân (PV);2022;654019;328155;325864;30616;32907;36965;40325;39424;143797;183014;111308;35663;4,7;5;5,7;6,2;6;22;28;17;5,5;78,6;38,4;40,1;308837;258300;50726;36156;553531;37,6;46,7;9,2;6,5;583384;70635;34635;36000;2338;3434;3246;2072;24910;89,2;10,8;5,3;5,5;0,4;0,5;0,5;0,3;3,8;52830;76140;86680;147570;290800;196;5801;8,8;7098;10,8;-1297;-2;2050;1692;457;373;2526;27324;24986;2338;3,6;90,6;;;;;659551;5532;8,5;656785;298709;111595;92340;94774;37,4;30,9;31,7;2,15;;;;;;;;;;;
Fryslân (PV);2023;659551;330889;328662;30666;32830;36838;39937;40437;146550;182285;113370;36638;4,6;5;5,6;6,1;6,1;22,2;27,6;17,2;5,6;78,6;38;40,6;313440;259039;50950;36122;559217;38,1;46,3;9,1;6,5;;;;;;;;;;;;;;;;;;;55460;75560;87340;148770;292420;197;;;;;;;;;;;;;;;;;;;;;;;;660727,5;301918;113890;92411;95617;37,7;30,6;31,7;2,14;;;;;;;;;;;
Drenthe (PV);2021;494771;246027;248744;21628;24243;27475;30153;25244;101970;146316;88969;28773;4,4;4,9;5,6;6,1;5,1;20,6;29,6;18;5,8;80,9;37,8;43;214649;209919;40130;30073;421425;33,5;49,8;9,5;7,1;442444;52327;28593;23734;1596;1552;1976;1941;16669;89,4;10,6;5,8;4,8;0,3;0,3;0,4;0,4;3,4;10050;58690;89750;113010;223270;188;4443;9;5876;11,8;-1433;-2,9;1620;1395;320;303;2238;24226;20113;4113;8,3;95,6;1865;1532;333;0,7;497743;2972;6;496257;220380;73490;74399;72491;33,3;33,8;32,9;2,2;;;;;;;;;;;
Drenthe (PV);2022;497743;247702;250041;22019;23995;27292;29686;26113;103073;145437;90868;29260;4,4;4,8;5,5;6;5,2;20,7;29,2;18,3;5,9;81,2;37,5;43,7;217297;209904;40440;30102;424437;33,9;49,5;9,5;7,1;443435;54308;29022;25286;1617;1626;2021;2105;17917;89,1;10,9;5,8;5,1;0,3;0,3;0,4;0,4;3,6;11930;60330;89700;111890;223890;189;4036;8,1;6030;12,1;-1994;-4;1668;1485;423;379;2075;22656;19970;2686;5,4;86,9;;;;;502051;4308;8,7;499897;222165;74843;74758;72564;33,7;33,6;32,7;2,19;;;;;;;;;;;
Drenthe (PV);2023;502051;249640;252411;21895;24080;27338;29272;27262;105033;144475;92755;29941;4,4;4,8;5,4;5,8;5,4;20,9;28,8;18,5;6;81,4;37,1;44,3;220810;210603;40408;30230;428738;34,4;49,1;9,4;7,1;;;;;;;;;;;;;;;;;;;12010;61320;91070;113100;224540;191;;;;;;;;;;;;;;;;;;;;;;;;503090;224758;76640;74806;73312;34,1;33,3;32,6;2,18;;;;;;;;;;;
Overijssel (PV);2021;1166533;586055;580478;57134;62439;68854;75512;75681;275578;319983;174429;56923;4,9;5,4;5,9;6,5;6,5;23,6;27,4;15;4,9;73,8;39,3;34,5;552276;474220;78931;61106;978106;37,2;48,5;8,1;6,2;979183;187350;83704;103646;4597;5617;5730;34754;52948;83,9;16,1;7,2;8,9;0,4;0,5;0,5;3;4,5;145160;266520;223170;269760;261920;351;11628;9,9;11688;10;-60;-0,1;3335;2747;717;549;4340;42491;39818;2673;2,3;92,7;8734;5946;2788;2,4;1171910;5377;4,6;1169221,5;512031;180716;153905;177410;35,3;30,1;34,6;2,24;;;;;;;;;;;
Overijssel (PV);2022;1171910;589158;582752;57238;61821;67972;75091;77292;277918;318768;178062;57748;4,9;5,3;5,8;6,4;6,6;23,7;27,2;15,2;4,9;73,9;38,9;35;557476;473598;79657;61179;984879;37,6;48,1;8,1;6,2;979924;191986;85168;106818;4632;5866;5781;34996;55543;83,6;16,4;7,3;9,1;0,4;0,5;0,5;3;4,7;147760;268770;221300;271830;262250;353;11301;9,6;11719;9,9;-418;-0,4;3279;2824;910;725;3981;42600;39176;3424;2,9;87,9;;;;;1184333;12423;10,6;1178121,5;516961;184820;154828;177313;35,8;29,9;34,3;2,23;;;;;;;;;;;
Overijssel (PV);2023;1184333;594954;589379;57717;61750;68009;74499;79732;283214;318457;181909;59046;4,9;5,2;5,7;6,3;6,7;23,9;26,9;15,4;5;73,8;38,4;35,4;566772;476614;79900;61047;996857;38;47,8;8;6,1;;;;;;;;;;;;;;;;;;;151340;270630;223260;275460;263640;357;;;;;;;;;;;;;;;;;;;;;;;;1186683;523617;189320;154834;179463;36,2;29,6;34,3;2,23;;;;;;;;;;;
Flevoland (PV);2021;428226;214301;213925;25222;26282;27671;28459;25901;114291;118179;50560;11661;5,9;6,1;6,5;6,6;6;26,7;27,6;11,8;2,7;65,7;41,7;24,1;214556;164112;35314;14244;349051;38,8;47;10,1;4,1;284920;143306;43640;99666;12322;8307;30716;7592;40729;66,5;33,5;10,2;23,3;2,9;1,9;7,2;1,8;9,5;9550;166840;113240;85270;53330;303;5179;12;2945;6,8;2234;5,2;850;609;146;155;1185;21137;18199;2938;6,8;107;5558;4180;1378;3,2;434771;6545;15,3;431498,5;178960;56743;48750;73467;31,7;27,2;41,1;2,36;;;;;;;;;;;
Flevoland (PV);2022;434771;217585;217186;25744;26314;27773;28195;26626;117144;118215;52882;11878;5,9;6,1;6,4;6,5;6,1;26,9;27,2;12,2;2,7;66;41,2;24,7;218670;165832;35752;14517;354940;39,1;46,7;10,1;4,1;284943;149828;45406;104422;12571;8513;31399;8056;43883;65,5;34,5;10,4;24;2,9;2;7,2;1,9;10,1;9570;171770;114210;84720;54500;308;5099;11,6;2877;6,5;2222;5,1;867;640;217;199;954;20897;18287;2610;5,9;100,1;;;;;444701;9930;22,8;439736;183147;58982;50060;74105;32,2;27,3;40,5;2,34;;;;;;;;;;;
Flevoland (PV);2023;444701;222403;222298;26482;26581;27924;28227;27856;121680;118403;55154;12394;6;6;6,3;6,3;6,3;27,4;26,6;12,4;2,8;66;40,8;25,2;225363;169021;35568;14749;363714;39,7;46,5;9,8;4,1;;;;;;;;;;;;;;;;;;;12220;175880;113350;86170;57070;315;;;;;;;;;;;;;;;;;;;;;;;;447763,5;188277;61932;50904;75441;32,9;27;40,1;2,33;;;;;;;;;;;
Gelderland (PV);2021;2096603;1041167;1055436;100718;107303;116934;129544;132521;482707;591665;330795;104416;4,8;5,1;5,6;6,2;6,3;23;28,2;15,8;5;73,7;37,7;36,1;980676;852191;154689;109047;1771648;37;48,1;8,7;6,2;1750121;346482;168833;177649;23045;10999;12378;41185;90042;83,5;16,5;8,1;8,5;1,1;0,5;0,6;2;4,3;186790;491840;472070;468470;477440;422;20771;9,9;21287;10,1;-516;-0,2;5839;4854;1369;1144;8081;97604;90651;6953;3,3;94,9;18677;11218;7459;3,5;2110472;13869;6,6;2103537,5;938341;339755;287366;311220;36,2;30,6;33,2;2,2;;;;;;;;;;;
Gelderland (PV);2022;2110472;1048162;1062310;101982;106691;116343;127612;135150;488733;588944;338493;106524;4,8;5,1;5,5;6;6,4;23,2;27,9;16;5;74;37,3;36,7;992157;852587;156127;109601;1785456;37,4;47,8;8,7;6,1;1754671;355801;171531;184270;23312;11473;12507;41471;95507;83,1;16,9;8,1;8,7;1,1;0,5;0,6;2;4,5;197110;486700;478070;470160;478440;425;19563;9,2;21481;10,1;-1918;-0,9;6082;5082;1618;1324;7375;94288;88735;5553;2,6;89,7;;;;;2133708;23236;11;2122090;948460;346983;290193;311284;36,6;30,6;32,8;2,19;;;;;;;;;;;
